,Shear Strain,Shear Stress
270,0.0135,27.1135
271,0.0136,27.1381
272,0.0136,27.1626
273,0.0137,27.1871
274,0.0137,27.2117
275,0.0138,27.2362
276,0.0138,27.2606
277,0.0139,27.2851
278,0.0139,27.3095
279,0.014,27.334
280,0.014,27.3584
281,0.0141,27.3828
282,0.0141,27.4072
283,0.0142,27.4316
284,0.0142,27.4559
285,0.0143,27.4803
286,0.0143,27.5046
287,0.0144,27.5289
288,0.0144,27.5532
289,0.0145,27.5775
290,0.0145,27.6017
291,0.0146,27.626
292,0.0146,27.6502
293,0.0147,27.6744
294,0.0147,27.6986
295,0.0148,27.7228
296,0.0148,27.747
297,0.0149,27.7711
298,0.0149,27.7953
299,0.015,27.8194
300,0.015,27.8435
301,0.0151,27.8676
302,0.0151,27.8917
303,0.0152,27.9157
304,0.0152,27.9398
305,0.0153,27.9638
306,0.0154,27.9878
307,0.0154,28.0118
308,0.0155,28.0358
309,0.0155,28.0598
310,0.0156,28.0837
311,0.0156,28.1077
312,0.0157,28.1316
313,0.0157,28.1555
314,0.0158,28.1794
315,0.0158,28.2033
316,0.0159,28.2271
317,0.0159,28.251
318,0.016,28.2748
319,0.016,28.2986
320,0.0161,28.3224
321,0.0161,28.3462
322,0.0162,28.37
323,0.0162,28.3937
324,0.0163,28.4175
325,0.0163,28.4412
326,0.0164,28.4649
327,0.0164,28.4886
328,0.0165,28.5123
329,0.0165,28.536
330,0.0166,28.5596
331,0.0166,28.5832
332,0.0167,28.6069
333,0.0167,28.6305
334,0.0168,28.6541
335,0.0168,28.6776
336,0.0169,28.7012
337,0.0169,28.7247
338,0.017,28.7483
339,0.017,28.7718
340,0.0171,28.7953
341,0.0171,28.8188
342,0.0172,28.8422
343,0.0173,28.8657
344,0.0173,28.8891
345,0.0174,28.9126
346,0.0174,28.936
347,0.0175,28.9594
348,0.0175,28.9828
349,0.0176,29.0061
350,0.0176,29.0295
351,0.0177,29.0528
352,0.0177,29.0761
353,0.0178,29.0994
354,0.0178,29.1227
355,0.0179,29.146
356,0.0179,29.1693
357,0.018,29.1925
358,0.018,29.2157
359,0.0181,29.239
360,0.0181,29.2622
361,0.0182,29.2854
362,0.0182,29.3085
363,0.0183,29.3317
364,0.0183,29.3548
365,0.0184,29.378
366,0.0184,29.4011
367,0.0185,29.4242
368,0.0185,29.4473
369,0.0186,29.4703
370,0.0186,29.4934
371,0.0187,29.5164
372,0.0187,29.5395
373,0.0188,29.5625
374,0.0189,29.5855
375,0.0189,29.6085
376,0.019,29.6314
377,0.019,29.6544
378,0.0191,29.6773
379,0.0191,29.7002
380,0.0192,29.7232
381,0.0192,29.746
382,0.0193,29.7689
383,0.0193,29.7918
384,0.0194,29.8146
385,0.0194,29.8375
386,0.0195,29.8603
387,0.0195,29.8831
388,0.0196,29.9059
389,0.0196,29.9287
390,0.0197,29.9515
391,0.0197,29.9742
392,0.0198,29.9969
393,0.0198,30.0197
394,0.0199,30.0424
395,0.0199,30.0651
396,0.02,30.0878
397,0.02,30.1104
398,0.0201,30.1331
399,0.0202,30.1557
400,0.0202,30.1783
401,0.0203,30.2009
402,0.0203,30.2235
403,0.0204,30.2461
404,0.0204,30.2687
405,0.0205,30.2912
406,0.0205,30.3138
407,0.0206,30.3363
408,0.0206,30.3588
409,0.0207,30.3813
410,0.0207,30.4038
411,0.0208,30.4262
412,0.0208,30.4487
413,0.0209,30.4711
414,0.0209,30.4935
415,0.021,30.5159
416,0.021,30.5383
417,0.0211,30.5607
418,0.0211,30.5831
419,0.0212,30.6054
420,0.0212,30.6278
421,0.0213,30.6501
422,0.0214,30.6724
423,0.0214,30.6947
424,0.0215,30.717
425,0.0215,30.7392
426,0.0216,30.7615
427,0.0216,30.7837
428,0.0217,30.806
429,0.0217,30.8282
430,0.0218,30.8504
431,0.0218,30.8725
432,0.0219,30.8947
433,0.0219,30.9169
434,0.022,30.939
435,0.022,30.9611
436,0.0221,30.9832
437,0.0221,31.0053
438,0.0222,31.0274
439,0.0222,31.0495
440,0.0223,31.0716
441,0.0223,31.0936
442,0.0224,31.1156
443,0.0225,31.1376
444,0.0225,31.1596
445,0.0226,31.1816
446,0.0226,31.2036
447,0.0227,31.2256
448,0.0227,31.2475
449,0.0228,31.2694
450,0.0228,31.2914
451,0.0229,31.3133
452,0.0229,31.3352
453,0.023,31.357
454,0.023,31.3789
455,0.0231,31.4007
456,0.0231,31.4226
457,0.0232,31.4444
458,0.0232,31.4662
459,0.0233,31.488
460,0.0233,31.5098
461,0.0234,31.5315
462,0.0234,31.5533
463,0.0235,31.575
464,0.0236,31.5968
465,0.0236,31.6185
466,0.0237,31.6402
467,0.0237,31.6619
468,0.0238,31.6835
469,0.0238,31.7052
470,0.0239,31.7268
471,0.0239,31.7485
472,0.024,31.7701
473,0.024,31.7917
474,0.0241,31.8133
475,0.0241,31.8348
476,0.0242,31.8564
477,0.0242,31.878
478,0.0243,31.8995
479,0.0243,31.921
480,0.0244,31.9425
481,0.0244,31.964
482,0.0245,31.9855
483,0.0246,32.007
484,0.0246,32.0284
485,0.0247,32.0499
486,0.0247,32.0713
487,0.0248,32.0927
488,0.0248,32.1141
489,0.0249,32.1355
490,0.0249,32.1568
491,0.025,32.1782
492,0.025,32.1996
493,0.0251,32.2209
494,0.0251,32.2422
495,0.0252,32.2635
496,0.0252,32.2848
497,0.0253,32.3061
498,0.0253,32.3273
499,0.0254,32.3486
500,0.0255,32.3698
501,0.0255,32.3911
502,0.0256,32.4123
503,0.0256,32.4335
504,0.0257,32.4547
505,0.0257,32.4758
506,0.0258,32.497
507,0.0258,32.5181
508,0.0259,32.5393
509,0.0259,32.5604
510,0.026,32.5815
511,0.026,32.6026
512,0.0261,32.6237
513,0.0261,32.6447
514,0.0262,32.6658
515,0.0262,32.6868
516,0.0263,32.7079
517,0.0264,32.7289
518,0.0264,32.7499
519,0.0265,32.7709
520,0.0265,32.7918
521,0.0266,32.8128
522,0.0266,32.8337
523,0.0267,32.8547
524,0.0267,32.8756
525,0.0268,32.8965
526,0.0268,32.9174
527,0.0269,32.9383
528,0.0269,32.9591
529,0.027,32.98
530,0.027,33.0008
531,0.0271,33.0217
532,0.0272,33.0425
533,0.0272,33.0633
534,0.0273,33.0841
535,0.0273,33.1049
536,0.0274,33.1256
537,0.0274,33.1464
538,0.0275,33.1671
539,0.0275,33.1878
540,0.0276,33.2086
541,0.0276,33.2293
542,0.0277,33.2499
543,0.0277,33.2706
544,0.0278,33.2913
545,0.0278,33.3119
546,0.0279,33.3326
547,0.028,33.3532
548,0.028,33.3738
549,0.0281,33.3944
550,0.0281,33.415
551,0.0282,33.4356
552,0.0282,33.4561
553,0.0283,33.4767
554,0.0283,33.4972
555,0.0284,33.5177
556,0.0284,33.5382
557,0.0285,33.5587
558,0.0285,33.5792
559,0.0286,33.5997
560,0.0286,33.6201
561,0.0287,33.6406
562,0.0288,33.661
563,0.0288,33.6814
564,0.0289,33.7018
565,0.0289,33.7222
566,0.029,33.7426
567,0.029,33.7629
568,0.0291,33.7833
569,0.0291,33.8036
570,0.0292,33.824
571,0.0292,33.8443
572,0.0293,33.8646
573,0.0293,33.8849
574,0.0294,33.9052
575,0.0294,33.9254
576,0.0295,33.9457
577,0.0296,33.9659
578,0.0296,33.9861
579,0.0297,34.0064
580,0.0297,34.0266
581,0.0298,34.0467
582,0.0298,34.0669
583,0.0299,34.0871
584,0.0299,34.1072
585,0.03,34.1274
586,0.03,34.1475
587,0.0301,34.1676
588,0.0301,34.1877
589,0.0302,34.2078
590,0.0303,34.2279
591,0.0303,34.2479
592,0.0304,34.268
593,0.0304,34.288
594,0.0305,34.3081
595,0.0305,34.3281
596,0.0306,34.3481
597,0.0306,34.3681
598,0.0307,34.388
599,0.0307,34.408
600,0.0308,34.428
601,0.0308,34.4479
602,0.0309,34.4678
603,0.031,34.4877
604,0.031,34.5076
605,0.0311,34.5275
606,0.0311,34.5474
607,0.0312,34.5673
608,0.0312,34.5871
609,0.0313,34.607
610,0.0313,34.6268
611,0.0314,34.6466
612,0.0314,34.6664
613,0.0315,34.6862
614,0.0315,34.706
615,0.0316,34.7258
616,0.0317,34.7455
617,0.0317,34.7652
618,0.0318,34.785
619,0.0318,34.8047
620,0.0319,34.8244
621,0.0319,34.8441
622,0.032,34.8638
623,0.032,34.8834
624,0.0321,34.9031
625,0.0321,34.9227
626,0.0322,34.9424
627,0.0322,34.962
628,0.0323,34.9816
629,0.0324,35.0012
630,0.0324,35.0208
631,0.0325,35.0404
632,0.0325,35.0599
633,0.0326,35.0795
634,0.0326,35.099
635,0.0327,35.1185
636,0.0327,35.138
637,0.0328,35.1575
638,0.0328,35.177
639,0.0329,35.1965
640,0.0329,35.216
641,0.033,35.2354
642,0.0331,35.2548
643,0.0331,35.2743
644,0.0332,35.2937
645,0.0332,35.3131
646,0.0333,35.3325
647,0.0333,35.3519
648,0.0334,35.3712
649,0.0334,35.3906
650,0.0335,35.4099
651,0.0335,35.4292
652,0.0336,35.4486
653,0.0337,35.4679
654,0.0337,35.4872
655,0.0338,35.5064
656,0.0338,35.5257
657,0.0339,35.545
658,0.0339,35.5642
659,0.034,35.5835
660,0.034,35.6027
661,0.0341,35.6219
662,0.0341,35.6411
663,0.0342,35.6603
664,0.0342,35.6795
665,0.0343,35.6986
666,0.0344,35.7178
667,0.0344,35.7369
668,0.0345,35.756
669,0.0345,35.7752
670,0.0346,35.7943
671,0.0346,35.8134
672,0.0347,35.8324
673,0.0347,35.8515
674,0.0348,35.8706
675,0.0348,35.8896
676,0.0349,35.9086
677,0.035,35.9277
678,0.035,35.9467
679,0.0351,35.9657
680,0.0351,35.9847
681,0.0352,36.0036
682,0.0352,36.0226
683,0.0353,36.0415
684,0.0353,36.0605
685,0.0354,36.0794
686,0.0354,36.0983
687,0.0355,36.1172
688,0.0356,36.1361
689,0.0356,36.155
690,0.0357,36.1739
691,0.0357,36.1927
692,0.0358,36.2116
693,0.0358,36.2304
694,0.0359,36.2492
695,0.0359,36.2681
696,0.036,36.2869
697,0.036,36.3056
698,0.0361,36.3244
699,0.0362,36.3432
700,0.0362,36.3619
701,0.0363,36.3807
702,0.0363,36.3994
703,0.0364,36.4181
704,0.0364,36.4368
705,0.0365,36.4555
706,0.0365,36.4742
707,0.0366,36.4929
708,0.0366,36.5116
709,0.0367,36.5302
710,0.0368,36.5489
711,0.0368,36.5675
712,0.0369,36.5861
713,0.0369,36.6047
714,0.037,36.6233
715,0.037,36.6419
716,0.0371,36.6604
717,0.0371,36.679
718,0.0372,36.6976
719,0.0372,36.7161
720,0.0373,36.7346
721,0.0374,36.7531
722,0.0374,36.7716
723,0.0375,36.7901
724,0.0375,36.8086
725,0.0376,36.8271
726,0.0376,36.8455
727,0.0377,36.864
728,0.0377,36.8824
729,0.0378,36.9008
730,0.0378,36.9192
731,0.0379,36.9376
732,0.038,36.956
733,0.038,36.9744
734,0.0381,36.9928
735,0.0381,37.0111
736,0.0382,37.0295
737,0.0382,37.0478
738,0.0383,37.0661
739,0.0383,37.0844
740,0.0384,37.1027
741,0.0384,37.121
742,0.0385,37.1393
743,0.0386,37.1576
744,0.0386,37.1758
745,0.0387,37.1941
746,0.0387,37.2123
747,0.0388,37.2305
748,0.0388,37.2487
749,0.0389,37.2669
750,0.0389,37.2851
751,0.039,37.3033
752,0.0391,37.3214
753,0.0391,37.3396
754,0.0392,37.3577
755,0.0392,37.3759
756,0.0393,37.394
757,0.0393,37.4121
758,0.0394,37.4302
759,0.0394,37.4483
760,0.0395,37.4664
761,0.0395,37.4844
762,0.0396,37.5025
763,0.0397,37.5205
764,0.0397,37.5386
765,0.0398,37.5566
766,0.0398,37.5746
767,0.0399,37.5926
768,0.0399,37.6106
769,0.04,37.6286
770,0.04,37.6465
771,0.0401,37.6645
772,0.0401,37.6824
773,0.0402,37.7003
774,0.0403,37.7183
775,0.0403,37.7362
776,0.0404,37.7541
777,0.0404,37.772
778,0.0405,37.7898
779,0.0405,37.8077
780,0.0406,37.8256
781,0.0406,37.8434
782,0.0407,37.8613
783,0.0408,37.8791
784,0.0408,37.8969
785,0.0409,37.9147
786,0.0409,37.9325
787,0.041,37.9503
788,0.041,37.968
789,0.0411,37.9858
790,0.0411,38.0035
791,0.0412,38.0213
792,0.0413,38.039
793,0.0413,38.0567
794,0.0414,38.0744
795,0.0414,38.0921
796,0.0415,38.1098
797,0.0415,38.1275
798,0.0416,38.1451
799,0.0416,38.1628
800,0.0417,38.1804
801,0.0417,38.198
802,0.0418,38.2157
803,0.0419,38.2333
804,0.0419,38.2509
805,0.042,38.2685
806,0.042,38.286
807,0.0421,38.3036
808,0.0421,38.3212
809,0.0422,38.3387
810,0.0422,38.3562
811,0.0423,38.3738
812,0.0424,38.3913
813,0.0424,38.4088
814,0.0425,38.4263
815,0.0425,38.4437
816,0.0426,38.4612
817,0.0426,38.4787
818,0.0427,38.4961
819,0.0427,38.5135
820,0.0428,38.531
821,0.0429,38.5484
822,0.0429,38.5658
823,0.043,38.5832
824,0.043,38.6006
825,0.0431,38.6179
826,0.0431,38.6353
827,0.0432,38.6527
828,0.0432,38.67
829,0.0433,38.6873
830,0.0434,38.7047
831,0.0434,38.722
832,0.0435,38.7393
833,0.0435,38.7566
834,0.0436,38.7738
835,0.0436,38.7911
836,0.0437,38.8084
837,0.0437,38.8256
838,0.0438,38.8428
839,0.0439,38.8601
840,0.0439,38.8773
841,0.044,38.8945
842,0.044,38.9117
843,0.0441,38.9289
844,0.0441,38.946
845,0.0442,38.9632
846,0.0442,38.9804
847,0.0443,38.9975
848,0.0444,39.0146
849,0.0444,39.0318
850,0.0445,39.0489
851,0.0445,39.066
852,0.0446,39.0831
853,0.0446,39.1001
854,0.0447,39.1172
855,0.0447,39.1343
856,0.0448,39.1513
857,0.0449,39.1684
858,0.0449,39.1854
859,0.045,39.2024
860,0.045,39.2194
861,0.0451,39.2364
862,0.0451,39.2534
863,0.0452,39.2704
864,0.0452,39.2874
865,0.0453,39.3043
866,0.0454,39.3213
867,0.0454,39.3382
868,0.0455,39.3551
869,0.0455,39.372
870,0.0456,39.3889
871,0.0456,39.4058
872,0.0457,39.4227
873,0.0457,39.4396
874,0.0458,39.4565
875,0.0459,39.4733
876,0.0459,39.4902
877,0.046,39.507
878,0.046,39.5238
879,0.0461,39.5406
880,0.0461,39.5574
881,0.0462,39.5742
882,0.0462,39.591
883,0.0463,39.6078
884,0.0464,39.6246
885,0.0464,39.6413
886,0.0465,39.6581
887,0.0465,39.6748
888,0.0466,39.6915
889,0.0466,39.7082
890,0.0467,39.7249
891,0.0467,39.7416
892,0.0468,39.7583
893,0.0469,39.775
894,0.0469,39.7916
895,0.047,39.8083
896,0.047,39.8249
897,0.0471,39.8416
898,0.0471,39.8582
899,0.0472,39.8748
900,0.0472,39.8914
901,0.0473,39.908
902,0.0474,39.9246
903,0.0474,39.9412
904,0.0475,39.9577
905,0.0475,39.9743
906,0.0476,39.9908
907,0.0476,40.0074
908,0.0477,40.0239
909,0.0477,40.0404
910,0.0478,40.0569
911,0.0479,40.0734
912,0.0479,40.0899
913,0.048,40.1063
914,0.048,40.1228
915,0.0481,40.1393
916,0.0481,40.1557
917,0.0482,40.1721
918,0.0483,40.1886
919,0.0483,40.205
920,0.0484,40.2214
921,0.0484,40.2378
922,0.0485,40.2542
923,0.0485,40.2705
924,0.0486,40.2869
925,0.0486,40.3033
926,0.0487,40.3196
927,0.0488,40.3359
928,0.0488,40.3523
929,0.0489,40.3686
930,0.0489,40.3849
931,0.049,40.4012
932,0.049,40.4175
933,0.0491,40.4337
934,0.0491,40.45
935,0.0492,40.4663
936,0.0493,40.4825
937,0.0493,40.4988
938,0.0494,40.515
939,0.0494,40.5312
940,0.0495,40.5474
941,0.0495,40.5636
942,0.0496,40.5798
943,0.0497,40.596
944,0.0497,40.6121
945,0.0498,40.6283
946,0.0498,40.6445
947,0.0499,40.6606
948,0.0499,40.6767
949,0.05,40.6929
950,0.05,40.709
951,0.0501,40.7251
952,0.0502,40.7412
953,0.0502,40.7572
954,0.0503,40.7733
955,0.0503,40.7894
956,0.0504,40.8054
957,0.0504,40.8215
958,0.0505,40.8375
959,0.0506,40.8535
960,0.0506,40.8695
961,0.0507,40.8856
962,0.0507,40.9016
963,0.0508,40.9175
964,0.0508,40.9335
965,0.0509,40.9495
966,0.0509,40.9654
967,0.051,40.9814
968,0.0511,40.9973
969,0.0511,41.0133
970,0.0512,41.0292
971,0.0512,41.0451
972,0.0513,41.061
973,0.0513,41.0769
974,0.0514,41.0928
975,0.0515,41.1086
976,0.0515,41.1245
977,0.0516,41.1404
978,0.0516,41.1562
979,0.0517,41.172
980,0.0517,41.1879
981,0.0518,41.2037
982,0.0518,41.2195
983,0.0519,41.2353
984,0.052,41.2511
985,0.052,41.2668
986,0.0521,41.2826
987,0.0521,41.2984
988,0.0522,41.3141
989,0.0522,41.3299
990,0.0523,41.3456
991,0.0524,41.3613
992,0.0524,41.377
993,0.0525,41.3927
994,0.0525,41.4084
995,0.0526,41.4241
996,0.0526,41.4398
997,0.0527,41.4555
998,0.0527,41.4711
999,0.0528,41.4868
1000,0.0529,41.5024
1001,0.0529,41.518
1002,0.053,41.5336
1003,0.053,41.5493
1004,0.0531,41.5649
1005,0.0531,41.5804
1006,0.0532,41.596
1007,0.0533,41.6116
1008,0.0533,41.6272
1009,0.0534,41.6427
1010,0.0534,41.6583
1011,0.0535,41.6738
1012,0.0535,41.6893
1013,0.0536,41.7048
1014,0.0537,41.7204
1015,0.0537,41.7359
1016,0.0538,41.7513
1017,0.0538,41.7668
1018,0.0539,41.7823
1019,0.0539,41.7978
1020,0.054,41.8132
1021,0.054,41.8287
1022,0.0541,41.8441
1023,0.0542,41.8595
1024,0.0542,41.8749
1025,0.0543,41.8903
1026,0.0543,41.9057
1027,0.0544,41.9211
1028,0.0544,41.9365
1029,0.0545,41.9519
1030,0.0546,41.9672
1031,0.0546,41.9826
1032,0.0547,41.9979
1033,0.0547,42.0133
1034,0.0548,42.0286
1035,0.0548,42.0439
1036,0.0549,42.0592
1037,0.055,42.0745
1038,0.055,42.0898
1039,0.0551,42.1051
1040,0.0551,42.1204
1041,0.0552,42.1356
1042,0.0552,42.1509
1043,0.0553,42.1661
1044,0.0553,42.1813
1045,0.0554,42.1966
1046,0.0555,42.2118
1047,0.0555,42.227
1048,0.0556,42.2422
1049,0.0556,42.2574
1050,0.0557,42.2726
1051,0.0557,42.2877
1052,0.0558,42.3029
1053,0.0559,42.3181
1054,0.0559,42.3332
1055,0.056,42.3483
1056,0.056,42.3635
1057,0.0561,42.3786
1058,0.0561,42.3937
1059,0.0562,42.4088
1060,0.0563,42.4239
1061,0.0563,42.439
1062,0.0564,42.454
1063,0.0564,42.4691
1064,0.0565,42.4842
1065,0.0565,42.4992
1066,0.0566,42.5142
1067,0.0567,42.5293
1068,0.0567,42.5443
1069,0.0568,42.5593
1070,0.0568,42.5743
1071,0.0569,42.5893
1072,0.0569,42.6043
1073,0.057,42.6193
1074,0.0571,42.6342
1075,0.0571,42.6492
1076,0.0572,42.6641
1077,0.0572,42.6791
1078,0.0573,42.694
1079,0.0573,42.7089
1080,0.0574,42.7238
1081,0.0575,42.7388
1082,0.0575,42.7536
1083,0.0576,42.7685
1084,0.0576,42.7834
1085,0.0577,42.7983
1086,0.0577,42.8131
1087,0.0578,42.828
1088,0.0578,42.8428
1089,0.0579,42.8577
1090,0.058,42.8725
1091,0.058,42.8873
1092,0.0581,42.9021
1093,0.0581,42.9169
1094,0.0582,42.9317
1095,0.0582,42.9465
1096,0.0583,42.9613
1097,0.0584,42.9761
1098,0.0584,42.9908
1099,0.0585,43.0056
1100,0.0585,43.0203
1101,0.0586,43.035
1102,0.0586,43.0498
1103,0.0587,43.0645
1104,0.0588,43.0792
1105,0.0588,43.0939
1106,0.0589,43.1086
1107,0.0589,43.1232
1108,0.059,43.1379
1109,0.059,43.1526
1110,0.0591,43.1672
1111,0.0592,43.1819
1112,0.0592,43.1965
1113,0.0593,43.2111
1114,0.0593,43.2257
1115,0.0594,43.2404
1116,0.0594,43.255
1117,0.0595,43.2696
1118,0.0596,43.2841
1119,0.0596,43.2987
1120,0.0597,43.3133
1121,0.0597,43.3278
1122,0.0598,43.3424
1123,0.0598,43.3569
1124,0.0599,43.3715
1125,0.06,43.386
1126,0.06,43.4005
1127,0.0601,43.415
1128,0.0601,43.4295
1129,0.0602,43.444
1130,0.0602,43.4585
1131,0.0603,43.473
1132,0.0604,43.4874
1133,0.0604,43.5019
1134,0.0605,43.5163
1135,0.0605,43.5308
1136,0.0606,43.5452
1137,0.0606,43.5596
1138,0.0607,43.574
1139,0.0608,43.5885
1140,0.0608,43.6029
1141,0.0609,43.6172
1142,0.0609,43.6316
1143,0.061,43.646
1144,0.061,43.6604
1145,0.0611,43.6747
1146,0.0612,43.6891
1147,0.0612,43.7034
1148,0.0613,43.7177
1149,0.0613,43.7321
1150,0.0614,43.7464
1151,0.0614,43.7607
1152,0.0615,43.775
1153,0.0616,43.7893
1154,0.0616,43.8035
1155,0.0617,43.8178
1156,0.0617,43.8321
1157,0.0618,43.8463
1158,0.0618,43.8606
1159,0.0619,43.8748
1160,0.062,43.8891
1161,0.062,43.9033
1162,0.0621,43.9175
1163,0.0621,43.9317
1164,0.0622,43.9459
1165,0.0622,43.9601
1166,0.0623,43.9743
